Date,Open,High,Low,Close,Adj Close ,Volume
4-Sep-24,550.2,554.43,549.46,550.95,542.67,"47,224,900"
3-Sep-24,560.47,560.81,549.51,552.08,543.78,"60,600,100"
30-Aug-24,560.77,564.2,557.14,563.68,555.21,"62,700,100"
29-Aug-24,560.31,563.68,557.18,558.35,549.96,"38,715,200"
28-Aug-24,561.21,561.65,555.04,558.3,549.91,"41,066,000"
27-Aug-24,559.49,562.06,558.32,561.56,553.12,"32,693,900"
26-Aug-24,563.18,563.91,559.05,560.79,552.36,"35,788,600"
23-Aug-24,559.53,563.09,557.29,562.13,553.68,"50,639,400"
22-Aug-24,562.56,563.18,554.98,556.22,547.86,"56,121,500"
21-Aug-24,559.77,562.11,554.73,560.62,552.19,"41,514,600"
20-Aug-24,559.15,560.84,557.33,558.7,550.3,"33,732,300"
19-Aug-24,554.73,559.61,553.86,559.61,551.2,"39,121,800"
16-Aug-24,551.42,555.02,551.26,554.31,545.98,"44,430,700"
15-Aug-24,549.5,553.36,548.88,553.07,544.76,"60,846,800"
14-Aug-24,542.85,544.96,540.12,543.75,535.58,"42,446,900"
13-Aug-24,536.53,542.28,536.28,542.04,533.89,"52,333,100"
12-Aug-24,534.21,535.73,530.95,533.27,525.25,"42,542,100"
9-Aug-24,529.81,534.51,528.56,532.99,524.98,"45,619,600"
8-Aug-24,523.91,531.29,521.84,530.65,522.67,"63,276,600"
7-Aug-24,528.47,531.59,518.05,518.66,510.86,"70,698,300"
6-Aug-24,519.22,529.75,517.87,522.15,514.3,"84,826,300"
5-Aug-24,511.64,523.58,510.27,517.38,509.6,"146,267,400"
2-Aug-24,535.75,536.99,528.6,532.9,524.89,"82,789,100"
1-Aug-24,552.57,554.87,539.43,543.01,534.85,"76,428,700"
31-Jul-24,548.98,553.5,547.58,550.81,542.53,"65,663,400"
30-Jul-24,546.26,547.34,538.52,542,533.85,"46,853,600"
29-Jul-24,546.02,547.05,542.72,544.76,536.57,"39,515,800"
26-Jul-24,542.28,547.19,541.49,544.44,536.26,"53,763,800"
25-Jul-24,541.35,547.46,537.45,538.41,530.32,"61,158,300"
24-Jul-24,548.86,549.17,540.29,541.23,533.09,"74,515,300"
23-Jul-24,554.54,556.74,553.28,553.78,545.46,"34,439,600"
22-Jul-24,553,555.27,551.02,554.65,546.31,"43,346,700"
19-Jul-24,552.42,554.08,547.91,548.99,540.74,"65,509,100"
18-Jul-24,558.51,559.52,550.43,552.66,544.35,"56,270,400"
17-Jul-24,558.8,560.51,556.61,556.94,548.57,"57,119,000"
16-Jul-24,562.87,565.16,562.1,564.86,556.37,"36,475,300"
15-Jul-24,562.03,564.84,559.63,561.53,553.09,"40,584,300"
12-Jul-24,557.63,563.67,557.15,559.99,551.57,"53,084,400"
11-Jul-24,561.44,562.33,555.83,556.48,548.11,"53,054,200"
10-Jul-24,557.07,561.67,556.77,561.32,552.88,"38,701,200"
9-Jul-24,556.26,557.18,555.52,555.82,547.46,"27,289,700"
8-Jul-24,555.44,556.25,554.19,555.28,546.93,"36,110,500"
5-Jul-24,551.77,555.05,551.12,554.64,546.3,"41,488,400"
3-Jul-24,548.69,551.83,548.65,551.46,543.17,"32,789,900"
2-Jul-24,543.7,549.01,543.65,549.01,540.76,"40,434,800"
1-Jul-24,545.63,545.88,542.52,545.34,537.14,"40,297,800"
28-Jun-24,547.16,550.28,542.95,544.22,536.04,"76,144,500"
27-Jun-24,545.37,546.96,544.61,546.37,538.16,"35,041,500"
26-Jun-24,543.69,546.24,543.03,545.51,537.31,"38,550,600"
25-Jun-24,543.99,545.2,542.44,544.83,536.64,"37,936,200"
24-Jun-24,544.33,546.95,542.62,542.74,534.58,"45,528,700"
21-Jun-24,544.4,545.65,543.02,544.51,536.32,"64,338,600"
20-Jun-24,549.44,550.12,545.18,547,537.04,"70,328,200"
18-Jun-24,547.16,548.62,546.73,548.49,538.51,"41,376,400"
17-Jun-24,542.08,548.53,541.61,547.1,537.14,"55,839,500"
14-Jun-24,540.88,542.81,539.85,542.78,532.9,"40,089,900"
